,name,category_0,category_1,take_out,review_count,stars,city_id,state_id
0,China Sea Chinese Restaurant,Restaurants,Chinese,True,11.0,2.5,1,1
1,Discount Tire Center,Tires,Automotive,False,24.0,4.5,1,1
2,Frankfurters,Restaurants,Hot Dogs,True,3.0,4.5,1,1
3,Fred Dietz Floral,Shopping,Flowers & Gifts,False,6.0,4.0,1,1
4,Kuhn's Market,Food,Grocery,False,8.0,3.5,1,1
5,Lincoln Bakery,Food,Bakeries,True,,4.0,1,1
6,Luigi's Pizzeria,Restaurants,Pizza,True,18.0,4.0,1,1
7,Mane Attractions Unlimited,Hair Salons,Beauty & Spas,False,4.0,3.0,1,1
8,R & B's Pizza Place,Restaurants,Pizza,True,17.0,4.0,1,1
9,Rusty Nail,Restaurants,American (Traditional),True,32.0,,1,1
10,Star Nails,Beauty & Spas,Nail Salons,False,7.0,2.5,1,1
11,Vivo,Restaurants,Italian,False,3.0,5.0,1,1
12,Emil's Lounge,Bars,American (New),True,26.0,4.5,2,1
13,Grand View Golf Club,Active Life,Golf,False,3.0,5.0,2,1
14,Advance Auto Parts,Automotive,Auto Parts & Supplies,False,3.0,3.5,3,1
15,Alexion's Bar & Grill,Bars,American (Traditional),True,23.0,4.0,3,1
16,Alteration World,Local Services,Sewing & Alterations,False,10.0,4.5,3,1
17,Amerifit,Active Life,Boxing,False,,3.0,3,1
18,Barb's Country Junction Cafe,Restaurants,Cafes,True,9.0,4.0,3,1
19,Carnegie Free Library,Public Services & Government,Libraries,False,4.0,4.5,3,1
20,Don Don Chinese Restaurant,Restaurants,Chinese,True,10.0,2.5,3,1
21,Extended Stay America - Pittsburgh - Carnegie,Hotels & Travel,Event Planning & Services,False,11.0,,3,1
22,Flynn's Tire & Auto Service,Auto Repair,Automotive,False,9.0,2.5,3,1
23,Forsythe Miniature Golf & Snacks,Active Life,Mini Golf,False,4.0,4.0,3,1
24,Gab & Eat,Breakfast & Brunch,Sandwiches,True,69.0,4.5,3,1
25,Heidelberg B P,Automotive,Gas & Service Stations,False,4.0,3.0,3,1
26,Kings Family Restaurant,Burgers,Breakfast & Brunch,True,10.0,3.5,3,1
27,Knorr's Sunoco Service,Automotive,Gas & Service Stations,False,3.0,3.5,3,1
28,Paddy's Pour House,Pubs,Irish,True,8.0,3.5,3,1
29,Papa J's,Restaurants,Italian,True,81.0,3.5,3,1
30,Porto Fino Pizzaria & Gyro,Restaurants,Pizza,False,4.0,2.5,3,1
31,Quaker State Construction,Home Services,Roofing,False,3.0,2.5,3,1
32,Rocky's Lounge,Bars,American (Traditional),True,10.0,4.0,3,1
33,Rossi Tailoring & Cleaners,Local Services,Dry Cleaning & Laundry,False,3.0,3.0,3,1
34,Shop N' Save,Food,Grocery,True,5.0,4.0,3,1
35,"Weinberg Lisa, DMD",Health & Medical,Dentists,False,8.0,2.5,3,1
36,Barnes & Noble Booksellers,Shopping,"Books, Mags, Music & Video",False,19.0,3.5,4,1
37,Bath & Body Works,Shopping,Cosmetics & Beauty Supply,False,5.0,4.5,4,1
38,Bed Bath & Beyond,Department Stores,Fashion,False,9.0,3.0,4,1
39,Dave & Buster's,Arts & Entertainment,American (Traditional),True,106.0,2.5,4,1
40,Dick's Sporting Goods,Sporting Goods,Fashion,False,,2.5,4,1
41,DSW Designer Shoe Warehouse,Shopping,Fashion,False,5.0,4.0,4,1
42,Duke's Upper Deck Cafe,Pubs,Bars,True,33.0,3.5,4,1
43,Enterprise Rent-A-Car,Hotels & Travel,Car Rental,False,4.0,3.5,4,1
44,Filene's Basement,Department Stores,Fashion,False,7.0,3.5,4,1
45,First Class Limousine Service,Hotels & Travel,Airport Shuttles,False,12.0,4.5,4,1
46,Giant Eagle,Food,Grocery,False,31.0,3.5,4,1
47,Gordon Shoes,Shopping,Fashion,False,6.0,4.0,4,1
48,Homestead Capri Pizza,Italian,Pizza,True,4.0,2.0,4,1
49,Italian Village Pizza,Restaurants,Pizza,False,6.0,2.5,4,1
50,Joe Dilorio's Auto Body Shop,Automotive,Body Shops,False,13.0,4.5,4,1
51,LOFT,Women's Clothing,Fashion,False,3.0,4.5,4,1
52,Lowe's Home Improvement,Home Services,Shopping,False,11.0,3.0,4,1
53,Marshalls,Shopping,Discount Store,False,9.0,3.0,4,1
54,Master Muffler & Brakes,Auto Repair,Automotive,False,3.0,3.5,4,1
55,McDonald's,Burgers,Fast Food,True,12.0,2.0,4,1
56,Mens Wearhouse,Men's Clothing,Fashion,False,8.0,2.0,4,1
57,Mitchell's Fish Market,Seafood,American (Traditional),True,122.0,3.5,4,1
58,Munhall Veterinary Hospital,Veterinarians,Pets,False,5.0,2.5,4,1
59,Old Navy,Women's Clothing,Men's Clothing,False,7.0,3.5,4,1
60,P.F. Chang's,Gluten-Free,Asian Fusion,True,95.0,3.0,4,1
61,Pittsburgh Improv Comedy Club,Nightlife,Comedy Clubs,False,45.0,3.0,4,1
62,Randy's Beer Barrel Pub,Pubs,Bars,False,3.0,2.5,4,1
63,Rock Bottom,Food,American (Traditional),True,148.0,3.5,4,1
64,Sandcastle Water Park,Active Life,Swimming Pools,False,19.0,3.0,4,1
65,Sing Sing,Piano Bars,Nightlife,False,32.0,3.5,4,1
66,Sleep Pittsburgh,Shopping,Mattresses,False,4.0,5.0,4,1
67,South Hills Family Medicine,Doctors,Health & Medical,False,3.0,1.5,4,1
68,Starbucks,Food,Coffee & Tea,True,25.0,3.5,4,1
69,Target,Department Stores,Fashion,False,23.0,3.5,4,1
70,TGI Fridays,Bars,American (Traditional),True,23.0,2.5,4,1
71,TJ Maxx,Department Stores,Fashion,False,7.0,4.0,4,1
72,Tunnel O Suds,Car Wash,Automotive,False,5.0,4.5,4,1
73,Uno Pizzeria & Grill,American (Traditional),Pizza,True,55.0,3.0,4,1
74,Victoria's Secret,Shopping,Lingerie,False,5.0,2.0,4,1
75,Wendy's,Burgers,Fast Food,True,7.0,3.0,4,1
76,Yankee Candle Co.,Gift Shops,Flowers & Gifts,False,4.0,4.5,4,1
77,Applebee's,Bars,American (Traditional),True,9.0,3.5,5,1
78,Broadway Brunch,Burgers,Breakfast & Brunch,True,21.0,4.5,5,1
79,Club Erotica,Adult Entertainment,Nightlife,False,4.0,2.5,5,1
